class_name,count,total_bytes,raw_labels,source_counts
adhirasam,50,4091421,adhirasam,"{""izbaiman/food-images"": 50}"
aloo_gobi,50,5367437,aloo_gobi,"{""izbaiman/food-images"": 50}"
aloo_matar,50,5405569,aloo_matar,"{""izbaiman/food-images"": 50}"
aloo_methi,50,4966863,aloo_methi,"{""izbaiman/food-images"": 50}"
aloo_shimla_mirch,50,3846235,aloo_shimla_mirch,"{""izbaiman/food-images"": 50}"
aloo_tikki,50,4783767,aloo_tikki,"{""izbaiman/food-images"": 50}"
amulet_fahita,25,251156,amulet_fahita,"{""izbaiman/food-images"": 25}"
anarsa,50,4403148,anarsa,"{""izbaiman/food-images"": 50}"
arika,25,205803,arika,"{""izbaiman/food-images"": 25}"
ariselu,50,5913351,ariselu,"{""izbaiman/food-images"": 50}"
arugula_salad,24,295485,Arugula_salad,"{""izbaiman/food-images"": 24}"
bandar_laddu,50,2349663,bandar_laddu,"{""izbaiman/food-images"": 50}"
barbecue_chicken,25,248306,Barbecue_chicken,"{""izbaiman/food-images"": 25}"
basundi,50,2994452,basundi,"{""izbaiman/food-images"": 50}"
bbq,100,6910809,bbq,"{""useractivated/dataset"": 100}"
beaf_burger,25,211040,beaf burger,"{""izbaiman/food-images"": 25}"
beaf_peanut_butter,25,247330,Beaf Peanut butter,"{""izbaiman/food-images"": 25}"
beaf_stake_sandwitch,25,215914,Beaf stake sandwitch,"{""izbaiman/food-images"": 25}"
beef_bashamel,25,250294,Beef Bashamel,"{""izbaiman/food-images"": 25}"
beef_bashamil,25,252541,Beef bashamil,"{""izbaiman/food-images"": 25}"
beef_fahita,25,254587,beef_fahita,"{""izbaiman/food-images"": 25}"
beef_fahita_removebg_preview,25,263252,Beef_fahita-removebg-preview,"{""izbaiman/food-images"": 25}"
beef_kabsa,25,281963,beef_kabsa,"{""izbaiman/food-images"": 25}"
beef_kufta,25,233650,Beef Kufta,"{""izbaiman/food-images"": 25}"
beef_pesto_with_rice,25,252104,beef pesto with rice,"{""izbaiman/food-images"": 25}"
beef_roll,25,279840,Beef roll,"{""izbaiman/food-images"": 25}"
beef_sati,25,251034,beef sati,"{""izbaiman/food-images"": 25}"
beef_syraih,25,272939,Beef syraih,"{""izbaiman/food-images"": 25}"
bhatura,50,2707090,bhatura,"{""izbaiman/food-images"": 50}"
bhindi_masala,50,6971426,bhindi_masala,"{""izbaiman/food-images"": 50}"
biryani,150,18791510,biryani,"{""izbaiman/food-images"": 50, ""useractivated/dataset"": 100}"
boondi,50,2843409,boondi,"{""izbaiman/food-images"": 50}"
brownie,100,7951526,brownie,"{""useractivated/dataset"": 100}"
brownies,25,211668,Brownies,"{""izbaiman/food-images"": 25}"
buffalo_chicken,25,259068,Buffalo_chicken,"{""izbaiman/food-images"": 25}"
buffalo_sandwich,25,181683,buffalo sandwich,"{""izbaiman/food-images"": 25}"
burgarice_beef,25,245085,BurgaRice_Beef,"{""izbaiman/food-images"": 25}"
burgarice_chicken,25,246711,BurgaRice_chicken,"{""izbaiman/food-images"": 25}"
butter_chicken,175,14021668,Butter_Chicken|butter_chicken,"{""izbaiman/food-images"": 75, ""useractivated/dataset"": 100}"
ceasar_salad,25,256067,ceasar salad,"{""izbaiman/food-images"": 25}"
chai,100,5886174,chai,"{""useractivated/dataset"": 100}"
chak_hao_kheer,50,8036927,chak_hao_kheer,"{""izbaiman/food-images"": 50}"
cham_cham,50,4543139,cham_cham,"{""izbaiman/food-images"": 50}"
chana_masala,50,7111688,chana_masala,"{""izbaiman/food-images"": 50}"
chapati,150,9430731,chapati,"{""izbaiman/food-images"": 50, ""useractivated/dataset"": 100}"
cheese_cake,25,226635,Cheese Cake,"{""izbaiman/food-images"": 25}"
