class,val_images,recall
barbecue_chicken,5,0.0
beef_pesto_with_rice,5,0.0
chicken_crunchy_oats2,5,0.0
chicken_kabsa,5,0.0
koskosi_fish,5,0.0
chicken_tikka_masala,7,0.0
pizza_tortilla,4,0.0
maqluba,5,0.0
white_boiled_rice,1,0.0
sayadia_fish,5,0.0
double_ka_meetha,10,0.1
chhena_kheeri,10,0.2
cham_cham,10,0.2
burgarice_chicken,5,0.2
chicken_fajita,5,0.2
burgarice_beef,5,0.2
chicken_turyaki,5,0.2
dawood_basha,5,0.2
fool,5,0.2
doodhpak,10,0.2
daal_puri,10,0.2
kachori,10,0.2
malapua,10,0.2
kadai_paneer,10,0.2
chicken_burger,5,0.2
buffalo_chicken,5,0.2
phirni,10,0.2
paneer_butter_masala,10,0.2
chicken_pizza,5,0.2
chicken_mashroam_white_rice,5,0.2
beef_roll,5,0.2
aloo_matar,10,0.2
parmesan_chicken,5,0.2
turkey_roast_croissant,5,0.2
prawn_and_rice,5,0.2
pithe,10,0.2
red_shawerma,5,0.2
sofle_chicken,5,0.2
sandesh,10,0.2
qusadrilla_beef,5,0.2
mushrooms_chicken,5,0.2
okra_chicken,5,0.2
adhirasam,9,0.222
beef_bashamil,4,0.25
karela_bharta,10,0.3
bhindi_masala,10,0.3
shrikhand,10,0.3
rabri,10,0.3
kofta,10,0.3
kuzhi_paniyaram,10,0.3
aloo_gobi,10,0.3
dum_aloo,10,0.4
chicken_mandi,5,0.4
chicken_sweat_and_sour,5,0.4
chinees_fish,5,0.4
aloo_shimla_mirch,10,0.4
beef_bashamel,5,0.4
kino_salad,5,0.4
lasagna_bolins_beef,5,0.4
greek_salad,5,0.4
kabab_kshkash,5,0.4
ledikeni,10,0.4
chicken_biryani,5,0.4
chicken_mushroam_sandwich,5,0.4
misi_roti,10,0.4
nicoise_salad,5,0.4
steak_with_maish_potato,5,0.4
sweet_fish_fillet,5,0.4
tuscan_chicken,5,0.4
pink_pasta,5,0.4
navrattan_korma,10,0.4
mix_salad,5,0.4
qubani_ka_meetha,10,0.4
pesto_with_rice2,5,0.4
sieryeh_chicken,5,0.4
sheera,10,0.4
penna_arabiata,5,0.4
omellet_pie,5,0.4
fish_fillet_with_limon_sauce,5,0.4
greek_chicken,5,0.4
beef_syraih,5,0.4
beef_kufta,5,0.4
teriyaki_beef,5,0.4
zukini_penna_pasta,5,0.4
white_shawerma,5,0.4
aloo_tikki,10,0.5
litti_chokha,10,0.5
chak_hao_kheer,10,0.5
anarsa,10,0.5
ghevar,10,0.5
lassi,10,0.5
misti_doi,10,0.5
ras_malai,10,0.5
maach_jhol,10,0.5
mixixi_sandwich,5,0.6
poreto,5,0.6
labnah_pie,5,0.6
lazy_cake,5,0.6
kadhi_pakoda,10,0.6
koshari,5,0.6
egg_and_spinach_croissant,5,0.6
falafel,5,0.6
gajar_ka_halwa,10,0.6
gavvalu,10,0.6
clair,5,0.6
bhatura,10,0.6
chana_masala,10,0.6
dal_makhani,10,0.6
